index,data,issuerTicker
0,2023-01-04,TCON
1,2023-01-04,THRX
2,2023-01-04,JAGX
3,2023-01-05,EYEN
4,2023-01-06,EPIX
5,2023-01-06,NAOV
6,2023-01-06,VIR
7,2023-01-06,IMRA
8,2023-01-09,MAIA
9,2023-01-11,MICS
10,2023-01-11,BTMD
11,2023-01-13,PHAT
12,2023-01-16,KMPH
13,2023-01-20,TCON
14,2023-01-20,TNYA
15,2023-01-20,PEPG
16,2023-01-24,TNYA
17,2023-01-25,CMPX
18,2023-01-27,RXRX
19,2023-02-01,PGEN
20,2023-02-01,CMPX
21,2023-02-03,RXRX
22,2023-02-06,TOVX
23,2023-02-06,TERN
24,2023-02-09,VERA
25,2023-02-10,CNC
26,2023-02-10,RBOT
27,2023-02-10,VERA
28,2023-02-13,TNYA
29,2023-02-15,VAPO
30,2023-02-15,FBIO
31,2023-02-16,VERA
32,2023-02-17,MLYS
33,2023-02-17,RANI
34,2023-02-17,MAIA
35,2023-02-17,RBOT
36,2023-02-20,MAIA
37,2023-02-20,IRON
38,2023-02-22,SPRB
39,2023-02-24,RXRX
40,2023-02-24,RANI
41,2023-02-24,MAIA
42,2023-02-28,ELVN
43,2023-03-03,TCON
44,2023-03-03,VIR
45,2023-03-03,RXRX
46,2023-03-03,RANI
47,2023-03-03,ENSC
48,2023-03-08,MICS
49,2023-03-10,XAIR
50,2023-03-10,SMMT
51,2023-03-10,MAIA
52,2023-03-10,ACRS
53,2023-03-13,CMPX
54,2023-03-14,VRDN
55,2023-03-14,TFFP
56,2023-03-15,GRTX
57,2023-03-15,TNYA
58,2023-03-16,RAPT
59,2023-03-17,ZVRA
60,2023-03-17,GLSI
61,2023-03-17,RWLK
62,2023-03-17,NVCT
63,2023-03-20,ACRS
64,2023-03-21,LAZY
65,2023-03-22,DTIL
66,2023-03-22,PYXS
67,2023-03-23,GOSS
68,2023-03-24,NVCT
69,2023-03-27,LPCN
70,2023-03-28,POWW
71,2023-03-28,PRAX
72,2023-03-30,ERAS
73,2023-03-30,CMRX
74,2023-03-30,RBOT
75,2023-03-30,INZY
76,2023-03-31,MIRO
77,2023-03-31,XAIR
78,2023-03-31,RANI
79,2023-04-05,DOMH
80,2023-04-07,ENTX
81,2023-04-07,OCX
82,2023-04-07,COCP
83,2023-04-07,RANI
84,2023-04-11,NOGN
85,2023-04-12,AVTX
86,2023-04-12,PHAT
87,2023-04-12,DMAC
88,2023-04-13,VRDN
89,2023-04-14,RBOT
90,2023-04-17,ONCT
91,2023-04-17,DOMO
92,2023-04-17,CNSP
93,2023-04-19,AVTX
94,2023-04-19,CNSP
95,2023-04-21,RANI
96,2023-04-24,GLSI
97,2023-04-25,AVTX
98,2023-04-28,AVTX
99,2023-05-01,TCON
100,2023-05-04,SRRK
101,2023-05-04,UTHR
102,2023-05-05,PSTV
103,2023-05-05,MORF
104,2023-05-05,INKT
105,2023-05-08,GTLB
106,2023-05-09,AVTX
107,2023-05-10,GLYC
108,2023-05-11,CMRX
109,2023-05-11,ESPR
110,2023-05-12,SRTS
111,2023-05-12,SAGE
112,2023-05-12,FDMT
113,2023-05-12,GLYC
